root:2018-12-07 14:30:16,688 -- DEBUG -- starting game
root:2018-12-07 14:31:16,514 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,548 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,584 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,619 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,654 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,690 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,725 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,760 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,796 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,831 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,867 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,903 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,938 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:16,974 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:17,010 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:17,045 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:17,079 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:17,115 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:17,150 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:17,185 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:17,221 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:17,221 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:17,256 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:17,256 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:17,291 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:17,291 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:17,326 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:17,326 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:17,361 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:17,397 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:17,432 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,257 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,292 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,328 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,362 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,396 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,431 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,431 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,466 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,467 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,502 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,503 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,538 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,539 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,573 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,573 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,607 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,608 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,642 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,643 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,678 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,678 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,713 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,714 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,748 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,749 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,782 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,783 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,817 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,818 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,852 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,853 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,888 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,888 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,923 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,924 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,958 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,959 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,993 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:41,994 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,034 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,035 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,069 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,070 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,104 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,105 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,140 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,140 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,174 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,175 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,209 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,210 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,245 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,245 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,280 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,280 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,314 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,315 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,349 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,349 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,383 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,384 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,418 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,419 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,454 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,454 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,489 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,490 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,524 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,525 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,560 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,560 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,595 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,595 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,630 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,630 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,665 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,666 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,700 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,701 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,736 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,736 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,771 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,772 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,806 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,807 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,841 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,842 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,876 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,877 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,911 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,912 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,946 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,947 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,981 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:42,982 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,017 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,017 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,052 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,053 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,088 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,088 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,123 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,123 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,157 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,158 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,192 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,193 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,193 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,228 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,228 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,228 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,263 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,263 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,263 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,298 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,298 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,299 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,333 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,334 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,334 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,369 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,369 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,369 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,405 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,405 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,406 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,440 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,441 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,441 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,475 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,475 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,476 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,510 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,511 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,511 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,546 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,546 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,546 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,580 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,581 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,581 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,616 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,617 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,617 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,651 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,652 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,652 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,687 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,687 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,688 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,722 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,723 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,723 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,757 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,758 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,758 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,793 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,793 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,793 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,829 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,829 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,829 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,864 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,864 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,865 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,899 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,899 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,900 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,934 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,935 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,935 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,969 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,970 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:43,970 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,005 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,005 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,005 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,039 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,040 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,040 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,075 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,075 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,076 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,110 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,110 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,111 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,146 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,146 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,147 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,181 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,182 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,182 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,217 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,217 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,217 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,252 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,252 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,252 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,287 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,287 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,287 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,322 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,322 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,322 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,356 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,357 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,357 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,392 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,392 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,393 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,427 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,428 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,428 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,462 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,463 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,463 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,498 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,498 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,499 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,532 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,533 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,533 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,567 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,568 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,568 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,602 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,602 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,603 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,637 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,637 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,638 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,673 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,673 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,673 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,708 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,708 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,708 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,743 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,744 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,744 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,779 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,779 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,780 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,815 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,816 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,850 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,851 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,884 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,885 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,920 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,920 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,954 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,955 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,990 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:44,990 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,025 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,025 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,061 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,061 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,096 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,096 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,130 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,130 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,165 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,165 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,200 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,200 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,234 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,235 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,269 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,270 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,305 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,305 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,340 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,341 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,376 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,376 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,412 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,412 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,448 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,448 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,483 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,483 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,518 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,518 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,554 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,588 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,623 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,658 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,694 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,727 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,762 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,797 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,833 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,868 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,903 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,937 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:45,972 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:46,007 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:46,042 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:46,077 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:46,111 -- WARNING -- no top level terrain for character to go to
root:2018-12-07 14:31:46,146 -- WARNING -- no top level terrain for character to go to
